aquifer_name,aquifer_number,pas_or_sas,aquifer_type,n_orphan_wells,mean_spud_date,haca_group,susceptibility_factors,notes
Arches-glaciated,32,SAS,Sedimentary - Glaciated,401,1941.141712,,2,
Texas-Pennsylvanian,33,SAS,Sedimentary,256,,,2,
"Upper Cretaceous, unglaciated",34,SAS,Sedimentary,211,1967.364357,,2,
Coast Ranges,35,SAS,Sedimentary,172,1960.015029,,3,
"Upper Cretaceous, glaciated",36,SAS,Sedimentary - Glaciated,162,1962.090234,,2,
Texas-Triassic,37,SAS,Sedimentary,157,1973.684971,,1,
Gulf Coastal-T,38,SAS,Sedimentary,148,1986.185765,,3,
Texas-KT,39,SAS,Sedimentary,112,1986.479728,,2,
Raton Basin,,SAS,Sedimentary,90,1962.735887,,2,
Edwards-Trinity KT,,SAS,Sedimentary,81,1984.931005,,1,
Inner Michigan Basin,,SAS,Sedimentary - Glaciated,71,1960.212676,,3,
Ouachita Mountains,,SAS,Sedimentary,19,1997.6707,,2,
Southern Rocky Mountains-S,,SAS,Sedimentary,18,1974.118728,,1,
Middle Rocky Mountains-S,,SAS,Sedimentary,15,1980.877419,,1,
Texas-Cretaceous,,SAS,Sedimentary,10,1966.268433,,2,
Basin and Range Highlands,,SAS,Mixed,10,1925.514785,,2,
Champlain-Hudson Valleys-S,,SAS,Sedimentary,4,1935.00269,,2,
Southeast Coastal Plain-T,,SAS,Sedimentary,4,,,3,
xValley&Ridge,,SAS,Sedimentary,2,1932.478495,,4,
Mississippi Embayment-KT,,SAS,Sedimentary,1,1941.42473,,3,
Adirondack Mountains,,SAS,Crystalline - Glaciated,1,,,1,
Sierra Nevada,,SAS,Crystalline,1,,,1,
Northern Rocky Mountains-S,,SAS,Sedimentary,1,1971.24731,,3,
Cape Cod and Islands,,SAS,Crystalline,0,,,1,
Northern Appalachian Mountains-X,,SAS,Crystalline,0,,,1,
Southern Rocky Mountains-X,,SAS,Crystalline,0,,,1,
Florida-T,,SAS,Sedimentary,0,,,2,
Middle Rocky Mountains-X,,SAS,Crystalline,0,,,1,
Middle & Southern Cascade Mountains,,SAS,Volcanic,0,,,1,
Klamath Mountains,,SAS,Crystalline,0,,,1,
Northern Rocky Mountains-X,,SAS,Crystalline,0,,,1,
Black Hills-X,,SAS,Crystalline,0,,,1,
Northern Cascade Mountains,,SAS,Crystalline,0,,,1,
Pacific Northwest Volcanics,,SAS,Volcanic,0,,,1,
Middle Cascade Mountains,,SAS,Volcanic,0,,,0,
Northern Rocky Mountains-Q,,SAS,Sedimentary,0,,,1,
Washington Oregon Coast Ranges-V,,SAS,Volcanic,0,,,0,
West Texas-V,,SAS,Volcanic,0,,,0,
Northern Rocky Mountains-V,,SAS,Volcanic,0,,,0,
Southern Rocky Mountains-V,,SAS,Volcanic,0,,,0,
Llano Uplift,,SAS,Mixed,0,,,0,
Middle Rocky Mountains-V,,SAS,Volcanic,0,,,0,
Rio Grande Highlands,,SAS,Volcanic,0,,,0,
Canadian Shield,,SAS,Crystalline - Glaciated,0,,,0,
xColorado Plateau,,SAS,Sedimentary,0,,,1,
North Central Interior-X,,SAS,Crystalline - Glaciated,0,,,0,
Black Hills-S,,SAS,Sedimentary,0,,,1,
Front Range,,SAS,Sedimentary,0,,,1,
Grand Canyon,,SAS,Sedimentary,0,,,1,
Washington Oregon Coast Ranges-S,,SAS,Sedimentary,0,,,1,
Champlain-Hudson Valleys-X,,SAS,Crystalline,0,,,0,
Ozarks-X,,SAS,Crystalline,0,,,0,
Blue Mountains,,SAS,Mixed,0,,,0,
Florida-Q,,SAS,Sedimentary,0,,,1,
West Texas-S,,SAS,Sedimentary,0,,,1,
xPugetSound,,SAS,Sedimentary,0,,,1,
North Central Interior-PZ,,SAS,Sedimentary - Glaciated,0,,,1,
