path,size_mb,modification_time
/Users/kelechielechi/orphan-wells-validation/data/raw/DOW/US_orphaned_wells.csv,22.19,2026-04-20T19:05:02Z
/Users/kelechielechi/orphan-wells-validation/data/raw/DOW/US_orphaned_wells.zip,8.94,2026-04-20T19:05:02Z
/Users/kelechielechi/orphan-wells-validation/data/raw/DOW.zip,8.9,2026-04-20T19:05:01Z
/Users/kelechielechi/orphan-wells-validation/data/raw/DOW/US_orphaned_wells.xml,0.06,2026-04-20T19:05:02Z
